nom;classe;proprietaire;pc_cur;ph_cur;pp_cur;pf_cur;pc_tot;ph_tot;pp_tot;pf_tot;vivant;commentaire
Athos Viliame;marchand;1;0;0;0;0;0;0;0;0;true;
Edouard le preux;noble;2;0;0;0;0;0;0;0;0;true;
Saxo Albertazzi;noble;3;0;0;0;0;0;0;0;0;true;
Luki Aravena;pretresse;4;0;0;0;0;0;0;0;0;true;
Franceys Ronchetti;marchand;5;0;0;0;0;0;0;0;0;true;
Hroch Giacomini;pretresse;6;0;0;0;0;0;0;0;0;true;
Wilmot Vachon;pretresse;7;0;0;0;0;0;0;0;0;true;
Hyrtius Van Bogaert;marchand;5;784;422;206;852;2437;6644;4848;4690;false;
Maule Frohlich;pretresse;4;182;702;763;872;4464;1276;1234;5231;false;
Juel Tremblay;marchand;2;715;653;425;211;5606;3649;7931;6954;false;
Vidigoia Reber;pretresse;3;980;328;778;535;9381;4131;7713;6406;false;
Haritz Uguccione;noble;1;508;361;427;809;4261;4064;1453;6174;false;
Igone Etxebarria;marchand;7;367;401;897;902;3549;3347;2658;3128;false;
Tice Prins;noble;7;932;751;220;611;5890;7359;7946;5886;false;
